"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"528","Theo Pinson","Dal","G-F","27.4","35","7","13.9","12.8","11","0.818","17","0.294","44","0.341","0.451","0.486","1.8","1.2","0.9","0.1","0","0.3","3","2.7","3.9","7.1","110.5","108.9"
"529","Dalen Terry","Chi","F","20.7","28","4.9","16.4","12.7","10","0.5","25","0.52","16","0.375","0.537","0.54","1.8","0.7","0.6","0.1","0.1","0.2","2.4","2.3","3","7.4","113.2","108.3"
"530","Quenton Jackson","Was","G","24.5","3","2.6","16.8","0","0","0","1","1","2","0.5","0.833","0.833","1.7","0.3","0.3","0","0","0","2","2","2.3","8.2","",""
"531","Garrison Mathews","Atl","G","26.4","3","2.5","18.4","0","3","0.667","0","0","2","0.5","0.75","0.753","1.7","0.3","0","0","0","0","2","1.7","2","0","",""
"532","Tony Bradley","Chi","C-F","25.2","12","2.8","19.4","7.4","4","1","7","0.429","5","0.6","0.625","0.69","1.6","0.9","0.1","0.1","0.1","0.1","2.5","1.7","2.6","7.5","",""
"533","Mamadi Diakite","Cle","F","26.2","17","6.3","14.1","17.6","0","0","13","0.615","15","0.267","0.5","0.5","1.6","0.8","0.1","0.1","0.4","0.4","2.4","1.8","2.5","3.2","89.6","102.5"
"534","Svi Mykhailiuk","Nyk","G-F","25.8","13","3.1","17.4","14","5","0.6","2","0","10","0.6","0.75","0.739","1.6","0.5","0.1","0.1","0","0.2","2.2","1.7","2.2","5.6","",""
"535","Peyton Watson","Den","G","20.5","14","3.2","21.2","9.5","2","0","15","0.533","4","0.5","0.579","0.553","1.6","0.6","0.1","0","0.1","0.1","2.1","1.6","2.2","5.7","",""
"536","Kendall Brown","Ind","G","19.9","6","6.7","10.3","21.7","2","0.5","6","0.667","1","0","0.571","0.571","1.5","1","0.5","0.7","0","0.3","2.5","2","3","5.4","109.4","94.5"
"537","Carlik Jones","Chi","G","25.2","2","11.4","14.9","16.4","4","0.25","4","0.25","1","0","0.2","0.222","1.5","1.5","1","0","0","0.5","3","2.5","4","4.6","63.3","115"
"538","Trevor Keels","Nyk","G","19.6","2","2","33","0","0","0","0","0","3","0.333","0.5","0.5","1.5","1","0","0","0","0","2.5","1.5","2.5","0","",""
"539","Wendell Moore Jr.","Min","G","21.5","26","5.6","14.4","16.9","5","0.8","22","0.636","17","0.118","0.436","0.461","1.5","0.6","0.7","0.3","0.2","0.3","2.1","2.2","2.8","6.1","95.7","109"
"540","Jordan Schakel","Was","G","24.8","2","3.1","14.1","0","0","0","1","0","1","1","0.75","0.75","1.5","0","0.5","0.5","0","0","1.5","2","2","0","",""
"541","Cole Swider","Lal","F","23.9","6","6.7","9.5","0","0","0","1","0","8","0.375","0.5","0.5","1.5","1.2","0.7","0","0","0","2.7","2.2","3.3","6.4","124.1","110.3"
"542","Matthew Dellavedova","Sac","G","32.5","27","6.6","13.1","19.5","7","0.571","19","0.316","22","0.318","0.402","0.42","1.4","0.4","1.3","0.2","0","0.4","1.8","2.7","3.1","5.5","99.9","110.4"
"543","Facundo Campazzo","Dal","G","32","8","6.5","14.6","18.5","2","0.5","2","0","11","0.273","0.346","0.36","1.3","0.3","1.1","0.8","0","0.4","1.5","2.4","2.6","4.6","86.6","110"
"544","Bruno Fernando","Atl","F-C","24.6","3","2.5","27.8","40","0","0","3","0.667","0","0","0.667","0.667","1.3","0.7","0.3","0","0","0.7","2","1.7","2.3","10.4","",""
"545","Frank Kaminsky","Hou","F-C","30","7","5.1","14.9","0","4","1","4","0.25","7","0.143","0.227","0.353","1.3","1.3","1","0.1","0.3","0","2.6","2.3","3.6","9.3","110.8","116.7"
"546","Braxton Key","Det","F","26.1","3","3","8.8","0","2","1","1","1","0","0","1","1.064","1.3","0.3","0","0","0","0","1.7","1.3","1.7","0","",""
"547","KZ Okpala","Sac","F-G","23.9","35","7.1","8.4","15.4","8","0.875","17","0.529","21","0.333","0.513","0.554","1.3","1","0.4","0.2","0.2","0.2","2.3","1.7","2.7","4.5","113.2","102.9"
"548","Micah Potter","Uta","F","24.9","3","4.8","5.8","0","0","0","2","1","0","0","1","1","1.3","1","0.7","0","0","0","2.3","2","3","8.1","211.8","106.6"
"549","Vit Krejci","Atl","G","22.7","23","5.4","11.5","12","2","0.5","11","0.545","18","0.278","0.466","0.469","1.2","0.7","0.5","0.1","0","0.2","1.9","1.7","2.4","5.5","103.2","111.7"
"550","Tyrese Martin","Atl","G","24","13","3.5","16.6","5.7","2","1","11","0.455","5","0.2","0.406","0.444","1.2","0.5","0","0.1","0","0.1","1.6","1.2","1.6","0","",""
"551","Isaiah Mobley","Cle","F","23.5","9","3.4","14.8","0","0","0","7","0.571","3","0.333","0.55","0.55","1.2","1.3","0","0.1","0.1","0","2.6","1.2","2.6","0","",""
"552","Davon Reed","Lal","G","27.8","5","4.2","9.6","0","4","0.25","1","1","2","0.5","0.833","0.63","1.2","0.6","0.4","0.2","0","0","1.8","1.6","2.2","6.3","140.8","102.1"
"553","Jack White","Den","F","25.6","16","3.2","15.6","5.8","3","0.667","8","0.5","8","0.375","0.531","0.548","1.2","0.6","0.2","0.1","0.1","0.1","1.8","1.4","1.9","6.6","",""
"554","Kessler Edwards","Bro","F","22.6","14","5.7","16.1","14.2","2","0.5","12","0.333","12","0.167","0.292","0.301","1.1","1","0.1","0.2","0.1","0.3","2.1","1.2","2.2","3.4","71.9","115.5"
"555","Noah Vonleh","Bos","F","27.6","23","7.5","9.2","31","2","1","20","0.5","4","0.25","0.479","0.502","1.1","2.1","0.3","0.1","0.3","0.5","3.2","1.4","3.5","4.7","102.8","93.2"
"556","T.J. Warren","Pho","F","29.5","8","6.4","12.5","6.7","0","0","12","0.25","2","0.5","0.321","0.321","1.1","2","0","0.3","0.1","0.1","3.1","1.1","3.1","0","80.6","100.7"
"557","Malcolm Hill","Chi","F","27.4","5","1.8","19.3","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"558","Mfiondu Kabengele","Bos","F-C","25.6","2","7","9.4","33.3","0","0","1","1","1","0","0.5","0.5","1","2.5","0","0","0","0.5","3.5","1","3.5","0","113.8","93.8"
"559","Sam Merrill","Cle","G","26.8","2","4.2","16","0","0","0","1","1","2","0","0.333","0.333","1","0","0","0","0","0","1","1","1","0","71.1","106.5"
"560","Chima Moneke","Sac","F","27.2","2","4","26.5","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.5","97.2"
"561","Lindell Wigginton","Mil","G","25","2","1.5","43.6","0","0","0","2","0.5","1","0","0.333","0.333","1","0","0","0","0","0","1","1","1","0","",""
"562","Nerlens Noel","Bro","C-F","28.9","3","14.4","12.3","44.6","2","0.5","6","0.167","0","0","0.167","0.218","1","3","1","1","0.3","1.7","4","2","5","4","57.4","98.3"
"563","JD Davison","Bos","G","20.5","7","2.6","29.2","8.3","0","0","8","0.375","3","0","0.273","0.273","0.9","0.7","0.4","0.3","0","0.1","1.6","1.3","2","9.7","",""
"564","Justin Jackson","Bos","F","28","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.5","107.7"
"565","Vince Williams Jr.","Mem","G","22.5","11","4.7","11.9","6.7","0","0","4","0.5","10","0.2","0.357","0.357","0.9","0.6","0.3","0.4","0.1","0.1","1.5","1.2","1.8","4.6","88.9","100.9"
"566","Alex Len","Sac","C","29.8","17","3.1","15.9","38.2","4","0.75","10","0.5","1","0","0.455","0.509","0.8","0.9","0.3","0","0","0.4","1.7","1.1","2","7.7","",""
"567","Dereon Seabron","Nor","G","22.8","5","2.3","18.4","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"568","Thanasis Antetokounmpo","Mil","F","30.7","28","4","12.6","26.5","8","0.5","17","0.353","5","0","0.273","0.313","0.6","1","0.1","0.1","0.1","0.3","1.6","0.7","1.7","3.9","72.4","101.7"
"569","PJ Dozier","Sac","G-F","26.4","8","1.8","18.1","0","0","0","2","0.5","4","0.25","0.417","0.417","0.6","0.4","0","0.4","0","0","1","0.6","1","0","",""
"570","Vernon Carey Jr.","Was","F-C","22.1","11","2.6","16.6","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"571","Devon Dotson","Was","G","23.6","6","8.9","9.9","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.4","97.7"
"572","Udonis Haslem","Mia","F","42.8","6","7.6","12.5","0","2","0.5","10","0.1","2","0","0.083","0.116","0.5","1.3","0","0.2","0.2","0","1.8","0.5","1.8","0","51.1","97.8"
"573","Isaiah Todd","Was","F","21.4","4","3.2","13.8","0","0","0","1","1","3","0","0.25","0.25","0.5","0","0","0","0","0","0.5","0.5","0.5","0","",""
"574","Leandro Bolmaro","Uta","F","22.5","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51.3","106.9"
"575","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"576","John Butler Jr.","Por","F","20.3","9","3.4","7.2","0","0","0","1","1","4","0","0.2","0.2","0.2","0.2","0.1","0.1","0.3","0","0.4","0.3","0.6","1.9","",""
"577","Sterling Brown","Lal","G-F","28.1","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","76.6","92.7"
"578","Deonte Burton","Sac","G-F","29.1","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"579","Julian Champagnie","Phi","F","21.7","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"580","Michael Foster Jr.","Phi","F","20.2","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"581","Frank Jackson","Uta","G","24.9","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48.4","119.8"
"582","Marko Simonovic","Chi","C","23.4","3","1.5","9.5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"583","Alondes Williams","Bro","G","23.7","1","5.3","16.8","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","97.8"
"584","Jamaree Bouyea","Was","G","23.7","1","5.5","7.9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","98.9"
"585","Jay Huff","Was","C","25.6","1","3.3","26.4","100","0","0","0","0","0","0","","","0","0","0","0","0","2","0","0","0","0","",""
